NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Punts,Punt_Yds,Punt_Avg
https://www.sports-reference.com/cfb/players/justin-jefferson-1.html,*2017,LSU,SEC,FR,WR,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,4.0,4.0,0.0,0.0,0.0,,0.0,1.0,4.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/justin-jefferson-1.html,*2018,LSU,SEC,SO,WR,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,5.0,26.0,5.2,0.0,54.0,875.0,16.2,6.0,59.0,901.0,15.3,6.0,0.0,0.0,,0.0,2.0,1.0,0.5,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/justin-jefferson-1.html,*2019,LSU,SEC,JR,WR,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,111.0,1540.0,13.9,18.0,111.0,1540.0,13.9,18.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/justin-jefferson-1.html,Career,LSU,,,,,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,6.0,30.0,5.0,0.0,165.0,2415.0,14.6,24.0,171.0,2445.0,14.3,24.0,0.0,0.0,,0.0,2.0,1.0,0.5,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/van-jefferson-1.html,*2015,Ole Miss,SEC,FR,WR,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/van-jefferson-1.html,2016,Ole Miss,SEC,FR,WR,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,5.0,40.0,8.0,0.0,49.0,543.0,11.1,3.0,54.0,583.0,10.8,3.0,0.0,0.0,,0.0,4.0,11.0,2.8,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/van-jefferson-1.html,2017,Ole Miss,SEC,SO,WR,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,42.0,456.0,10.9,1.0,42.0,456.0,10.9,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/van-jefferson-1.html,*2018,Florida,SEC,JR,WR,11.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,35.0,503.0,14.4,6.0,35.0,503.0,14.4,6.0,0.0,0.0,,0.0,3.0,17.0,5.7,0.0,1.0,1.0,100.0,-3.0,-3.0,-3.0,0.0,0.0,74.8,,,,,,,,,,
https://www.sports-reference.com/cfb/players/van-jefferson-1.html,*2019,Florida,SEC,SR,WR,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,1.0,7.0,7.0,0.0,49.0,657.0,13.4,6.0,50.0,664.0,13.3,6.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/van-jefferson-1.html,Career,Overall,,,,,4.0,1.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,6.0,47.0,7.8,0.0,175.0,2159.0,12.3,16.0,181.0,2206.0,12.2,16.0,0.0,0.0,,0.0,7.0,28.0,4.0,0.0,1.0,1.0,100.0,-3.0,-3.0,-3.0,0.0,0.0,74.8,,,,,,,,,,
https://www.sports-reference.com/cfb/players/van-jefferson-1.html,,Ole Miss,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,5.0,40.0,8.0,0.0,91.0,999.0,11.0,4.0,96.0,1039.0,10.8,4.0,0.0,0.0,,0.0,4.0,11.0,2.8,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,
