NCAA_Link,Year,School,Conf,Class,Pos,G,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF
https://www.sports-reference.com/cfb/players/mike-rumph-1.html,2000,Miami (FL),Big East,JR,DB,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,45.0,45.0,1.0,,,,,
https://www.sports-reference.com/cfb/players/mike-rumph-1.html,Career,Miami (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,42.0,7.0,1.0,,,,,
https://www.sports-reference.com/cfb/players/cliff-russell-1.html,1999,Utah,MWC,,WR,9.0,,,,,,,,,,,1.0,6.0,6.0,0.0,34.0,601.0,17.7,3.0,35.0,607.0,17.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cliff-russell-1.html,2000,Utah,MWC,JR,WR,8.0,,,,,,,,,,,1.0,5.0,5.0,0.0,37.0,517.0,14.0,3.0,38.0,522.0,13.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cliff-russell-1.html,2001,Utah,MWC,SR,WR,11.0,,,,,,,,,,,5.0,26.0,5.2,0.0,53.0,744.0,14.0,4.0,58.0,770.0,13.3,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cliff-russell-1.html,Career,Utah,,,,,,,,,,,,,,,7.0,37.0,5.3,0.0,124.0,1862.0,15.0,10.0,131.0,1899.0,14.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jake-schifino-1.html,1998,Akron,MAC,,WR,9.0,,,,,,,,,,,,,,,16.0,250.0,15.6,2.0,16.0,250.0,15.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jake-schifino-1.html,1999,Akron,MAC,,WR,9.0,,,,,,,,,,,3.0,29.0,9.7,0.0,37.0,452.0,12.2,1.0,40.0,481.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jake-schifino-1.html,2000,Akron,MAC,JR,WR,11.0,,,,,,,,,,,4.0,32.0,8.0,0.0,42.0,778.0,18.5,4.0,46.0,810.0,17.6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jake-schifino-1.html,2001,Akron,MAC,SR,WR,11.0,,,,,,,,,,,3.0,-12.0,-4.0,0.0,36.0,506.0,14.1,3.0,39.0,494.0,12.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jake-schifino-1.html,Career,Akron,,,,,,,,,,,,,,,10.0,49.0,4.9,0.0,131.0,1986.0,15.2,10.0,141.0,2035.0,14.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/matt-schobel-1.html,*1999,Texas Christian,WAC,,WR,10.0,,,,,,,,,,,,,,,4.0,26.0,6.5,0.0,4.0,26.0,6.5,0.0,,,,,,,,,1.0,1.0,100.0,7.0,7.0,7.0,0.0,0.0,158.8,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/matt-schobel-1.html,2000,Texas Christian,WAC,JR,TE,10.0,,,,,,,,,,,,,,,4.0,42.0,10.5,1.0,4.0,42.0,10.5,1.0,,,,,,,,,1.0,1.0,100.0,5.0,5.0,5.0,0.0,0.0,142.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/matt-schobel-1.html,2001,Texas Christian,CUSA,,TE,7.0,,,,,,,,,,,,,,,19.0,310.0,16.3,5.0,19.0,310.0,16.3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/matt-schobel-1.html,Career,Texas Christian,,,,,,,,,,,,,,,,,,,27.0,378.0,14.0,6.0,27.0,378.0,14.0,6.0,,,,,,,,,2.0,2.0,100.0,12.0,6.0,6.0,0.0,0.0,150.4,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-scobey-1.html,2000,Kansas State,Big 12,JR,RB,13.0,,,,,,,,,,,169.0,718.0,4.2,16.0,4.0,29.0,7.3,0.0,173.0,747.0,4.3,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
