NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD
https://www.sports-reference.com/cfb/players/dustin-hopkins-1.html,*2009,Florida State,ACC,FR,K,13.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,40.0,44.0,90.9,19.0,27.0,70.4,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dustin-hopkins-1.html,*2010,Florida State,ACC,SO,K,14.0,2.0,1.0,3.0,0.0,0.0,,,,,,,,,,,,,53.0,53.0,100.0,22.0,28.0,78.6,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dustin-hopkins-1.html,*2011,Florida State,ACC,JR,K,13.0,2.0,1.0,3.0,0.0,0.0,,,,,,,,,,,,,44.0,44.0,100.0,22.0,27.0,81.5,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dustin-hopkins-1.html,*2012,Florida State,ACC,SR,K,14.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,65.0,66.0,98.5,25.0,30.0,83.3,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dustin-hopkins-1.html,Career,Florida State,,,,,6.0,4.0,10.0,0.0,0.0,,,,,,,,,,,,,202.0,207.0,97.6,88.0,112.0,78.6,466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/deandre-hopkins-1.html,*2010,Clemson,ACC,FR,WR,12.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,52.0,637.0,12.3,4.0,,,,,52.0,637.0,12.3,4.0,2.0,33.0,16.5,0.0,2.0,32.0,16.0,0.0
https://www.sports-reference.com/cfb/players/deandre-hopkins-1.html,*2011,Clemson,ACC,SO,WR,14.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,978.0,13.6,5.0,,,,,72.0,978.0,13.6,5.0,10.0,49.0,4.9,0.0,,,,
https://www.sports-reference.com/cfb/players/deandre-hopkins-1.html,*2012,Clemson,ACC,JR,WR,13.0,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1405.0,17.1,18.0,,,,,82.0,1405.0,17.1,18.0,,,,,,,,
https://www.sports-reference.com/cfb/players/deandre-hopkins-1.html,Career,Clemson,,,,,2.0,1.0,3.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,3020.0,14.7,27.0,,,,,206.0,3020.0,14.7,27.0,12.0,82.0,6.8,0.0,2.0,32.0,16.0,0.0
https://www.sports-reference.com/cfb/players/josh-hubner-1.html,*2011,Arizona State,Pac-12,JR,P,13.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,,0.0,62.0,2562.0,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-hubner-1.html,*2012,Arizona State,Pac-12,SR,P,13.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,52.0,2451.0,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-hubner-1.html,Career,Arizona State,,,,,2.0,0.0,2.0,0.0,0.0,,,,,0.0,0.0,,,0.0,114.0,5013.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/margus-hunt-1.html,*2009,SMU,CUSA,FR,DL,13.0,4.0,4.0,8.0,2.5,2.5,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/margus-hunt-1.html,*2010,SMU,CUSA,SO,DL,14.0,21.0,24.0,45.0,6.5,3.0,0.0,0.0,,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/margus-hunt-1.html,*2011,SMU,CUSA,JR,DL,13.0,16.0,12.0,28.0,7.5,3.0,0.0,0.0,,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/margus-hunt-1.html,*2012,SMU,CUSA,SR,DL,13.0,19.0,12.0,31.0,11.5,8.0,1.0,9.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
