NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/bj-tucker-1.html,Career,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,67.0,13.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/chris-vance-1.html,2001,Ohio State,Big Ten,JR,WR,11.0,29.0,544.0,18.8,4.0,,,,,29.0,544.0,18.8,4.0,,,,,19.0,139.0,7.3,0.0,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/chris-vance-1.html,*2002,Ohio State,Big Ten,SR,WR,12.0,13.0,178.0,13.7,3.0,,,,,13.0,178.0,13.7,3.0,1.0,2.0,2.0,0.0,1.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/chris-vance-1.html,Career,Ohio State,,,,,42.0,722.0,17.2,7.0,,,,,42.0,722.0,17.2,7.0,1.0,2.0,2.0,0.0,20.0,144.0,7.2,0.0,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bobby-wade-1.html,1999,Arizona,Pac-10,,WR,12.0,30.0,454.0,15.1,4.0,,,,,30.0,454.0,15.1,4.0,10.0,191.0,19.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bobby-wade-1.html,2000,Arizona,Pac-10,FR,WR,10.0,45.0,626.0,13.9,3.0,8.0,27.0,3.4,0.0,53.0,653.0,12.3,3.0,3.0,66.0,22.0,0.0,26.0,262.0,10.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bobby-wade-1.html,2001,Arizona,Pac-10,SO,WR,11.0,62.0,882.0,14.2,8.0,3.0,22.0,7.3,0.0,65.0,904.0,13.9,8.0,3.0,67.0,22.3,0.0,23.0,239.0,10.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bobby-wade-1.html,2002,Arizona,Pac-10,SR,WR,12.0,93.0,1389.0,14.9,8.0,1.0,4.0,4.0,0.0,94.0,1393.0,14.8,8.0,17.0,332.0,19.5,0.0,16.0,224.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bobby-wade-1.html,Career,Arizona,,,,,230.0,3351.0,14.6,23.0,12.0,53.0,4.4,0.0,242.0,3404.0,14.1,23.0,33.0,656.0,19.9,0.0,65.0,725.0,11.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/aaron-walker-2.html,1999,Florida,SEC,,TE,10.0,1.0,13.0,13.0,0.0,,,,,1.0,13.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
