NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate
https://www.sports-reference.com/cfb/players/jamie-rheem-1.html,2000,Kansas State,Big 12,SR,K,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,50.0,98.0,17.0,20.0,85.0,100.0,0.0,1.0,0.0,0.0,0.0,-45.0,0.0,1.0,-200.0
https://www.sports-reference.com/cfb/players/jamie-rheem-1.html,Career,Kansas State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,138.0,97.8,39.0,49.0,79.6,250.0,0.0,1.0,0.0,0.0,0.0,-45.0,0.0,1.0,-200.0
https://www.sports-reference.com/cfb/players/karon-riley-1.html,2000,Minnesota,Big Ten,,DL,11.0,,,,,,1.0,12.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/karon-riley-1.html,Career,Minnesota,,,,,,,,,,1.0,12.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcellus-rivers-1.html,1998,Oklahoma State,Big 12,,TE,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,335.0,15.2,4.0,22.0,335.0,15.2,4.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcellus-rivers-1.html,1999,Oklahoma State,Big 12,,TE,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,336.0,12.4,4.0,27.0,336.0,12.4,4.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcellus-rivers-1.html,2000,Oklahoma State,Big 12,SR,WR,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,292.0,15.4,2.0,19.0,292.0,15.4,2.0,,,,,,,,,,,1.0,1.0,100.0,9.0,9.0,9.0,0.0,0.0,175.6
https://www.sports-reference.com/cfb/players/marcellus-rivers-1.html,Career,Oklahoma State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,963.0,14.2,10.0,68.0,963.0,14.2,10.0,,,,,,,,,,,1.0,1.0,100.0,9.0,9.0,9.0,0.0,0.0,175.6
https://www.sports-reference.com/cfb/players/mike-roberg-1.html,1998,Idaho,Big West,,TE,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,157.0,12.1,2.0,13.0,157.0,12.1,2.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mike-roberg-1.html,1999,Idaho,Big West,,TE,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,165.0,9.7,4.0,17.0,165.0,9.7,4.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mike-roberg-1.html,2000,Idaho,Big West,SR,TE,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,400.0,11.8,4.0,34.0,400.0,11.8,4.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mike-roberg-1.html,Career,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,722.0,11.3,10.0,64.0,722.0,11.3,10.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/koren-robinson-1.html,1999,North Carolina State,ACC,,WR,11.0,,,,,,,,,,,,,,,4.0,54.0,13.5,0.0,14.0,94.0,6.7,1.0,13.0,15.0,1.2,0.0,48.0,853.0,17.8,2.0,61.0,868.0,14.2,2.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/koren-robinson-1.html,2000,North Carolina State,ACC,SO,WR,11.0,,,,,,,,,,,,,,,20.0,506.0,25.3,0.0,14.0,218.0,15.6,1.0,15.0,95.0,6.3,0.0,62.0,1061.0,17.1,13.0,77.0,1156.0,15.0,13.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/koren-robinson-1.html,Career,North Carolina State,,,,,,,,,,,,,,,,,,,24.0,560.0,23.3,0.0,28.0,312.0,11.1,2.0,28.0,110.0,3.9,0.0,110.0,1914.0,17.4,15.0,138.0,2024.0,14.7,15.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/sage-rosenfels-1.html,1997,Iowa State,Big 12,,QB,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,20.0,10.0,0.0,,,,,2.0,20.0,10.0,0.0,,,,,,,,,,,4.0,10.0,40.0,37.0,3.7,-5.3,0.0,2.0,31.1
https://www.sports-reference.com/cfb/players/sage-rosenfels-1.html,1998,Iowa State,Big 12,,QB,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,34.0,8.5,0.0,,,,,4.0,34.0,8.5,0.0,,,,,,,,,,,3.0,9.0,33.3,48.0,5.3,0.3,0.0,1.0,55.9
https://www.sports-reference.com/cfb/players/sage-rosenfels-1.html,1999,Iowa State,Big 12,,QB,11.0,,,,,,,,,,,,,,,,,,,,,,,80.0,225.0,2.8,4.0,,,,,80.0,225.0,2.8,4.0,,,,,,,,,,,127.0,235.0,54.0,1781.0,7.6,6.3,10.0,11.0,122.4
https://www.sports-reference.com/cfb/players/sage-rosenfels-1.html,2000,Iowa State,Big 12,SR,QB,11.0,,,,,,,,,,,,,,,,,,,,,,,78.0,381.0,4.9,10.0,,,,,78.0,381.0,4.9,10.0,1.0,26.0,26.0,,,,,,,,172.0,333.0,51.7,2298.0,6.9,5.8,8.0,12.0,110.3
https://www.sports-reference.com/cfb/players/sage-rosenfels-1.html,Career,Iowa State,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0,660.0,4.0,14.0,,,,,164.0,660.0,4.0,14.0,1.0,26.0,26.0,,,,,,,,306.0,587.0,52.1,4164.0,7.1,5.7,18.0,26.0,113.0
https://www.sports-reference.com/cfb/players/dwight-smith-1.html,1997,Akron,MAC,,DB,11.0,,,,,,1.0,0.0,0.0,0.0,,,,,,8.0,147.0,18.4,0.0,4.0,38.0,9.5,0.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dwight-smith-1.html,1998,Akron,MAC,,DB,11.0,,,,,,2.0,0.0,0.0,0.0,,,,,,17.0,381.0,22.4,0.0,5.0,35.0,7.0,0.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dwight-smith-1.html,1999,Akron,MAC,,DB,11.0,,,,,,2.0,53.0,26.5,1.0,,,,,,11.0,261.0,23.7,0.0,5.0,22.0,4.4,0.0,3.0,7.0,2.3,0.0,,,,,3.0,7.0,2.3,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dwight-smith-1.html,2000,Akron,MAC,SR,DB,11.0,,,,,,10.0,208.0,20.8,2.0,,,35.0,1.0,,2.0,37.0,18.5,0.0,2.0,5.0,2.5,0.0,,,,,3.0,94.0,31.3,0.0,3.0,94.0,31.3,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dwight-smith-1.html,Career,Akron,,,,,,,,,,15.0,261.0,17.4,3.0,,,35.0,1.0,,38.0,826.0,21.7,0.0,16.0,100.0,6.3,0.0,3.0,7.0,2.3,0.0,3.0,94.0,31.3,0.0,6.0,101.0,16.8,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/justin-smith-8.html,2015,Missouri,SEC,FR,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/justin-smith-8.html,2016,Missouri,SEC,FR,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,1.0,7.0,7.0,0.0,1.0,7.0,7.0,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/justin-smith-8.html,Career,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,1.0,7.0,7.0,0.0,1.0,7.0,7.0,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kenny-smith-1.html,1998,Rice,WAC,,DB,11.0,,,,,,,,,,,,,,,1.0,12.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kenny-smith-1.html,2000,Rice,WAC,JR,DB,10.0,,,,,,1.0,0.0,0.0,0.0,,,,,,1.0,14.0,14.0,0.0,1.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kenny-smith-1.html,Career,Rice,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,2.0,26.0,13.0,0.0,1.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
