NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/dezmon-briscoe-1.html,2009,Kansas,Big 12,JR,WR,11.0,84.0,1337.0,15.9,9.0,2.0,19.0,9.5,1.0,86.0,1356.0,15.8,10.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,19.0,432.0,22.7,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dezmon-briscoe-1.html,Career,Kansas,,,,,219.0,3240.0,14.8,31.0,4.0,37.0,9.3,1.0,223.0,3277.0,14.7,32.0,3.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,27.0,651.0,24.1,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/levi-brown-1.html,*2008,Troy,Sun Belt,JR,QB,10.0,,,,,33.0,17.0,0.5,0.0,33.0,17.0,0.5,0.0,,,,,,,,,,,,,,,201.0,326.0,61.7,2030.0,6.2,6.7,15.0,3.0,127.3,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/levi-brown-1.html,*2009,Troy,Sun Belt,SR,QB,13.0,1.0,17.0,17.0,0.0,54.0,7.0,0.1,1.0,55.0,24.0,0.4,1.0,,,,,,,,,,,,,,,321.0,504.0,63.7,4254.0,8.4,8.5,23.0,9.0,146.1,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/levi-brown-1.html,Career,Troy,,,,,1.0,17.0,17.0,0.0,87.0,24.0,0.3,1.0,88.0,41.0,0.5,1.0,,,,,,,,,,,,,,,522.0,830.0,62.9,6284.0,7.6,7.8,38.0,12.0,138.7,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jarrett-brown-1.html,*2006,West Virginia,Big East,SO,QB,6.0,,,,,32.0,176.0,5.5,3.0,32.0,176.0,5.5,3.0,,,,,,,,,,,,,,,28.0,47.0,59.6,384.0,8.2,8.1,2.0,1.0,138.0,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jarrett-brown-1.html,*2007,West Virginia,Big East,SO,QB,10.0,,,,,49.0,327.0,6.7,3.0,49.0,327.0,6.7,3.0,,,,,,,,,,,,,,,31.0,48.0,64.6,341.0,7.1,6.1,2.0,2.0,129.7,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jarrett-brown-1.html,*2008,West Virginia,Big East,JR,QB,9.0,1.0,-1.0,-1.0,0.0,36.0,169.0,4.7,1.0,37.0,168.0,4.5,1.0,,,,,,,,,,,,,,,22.0,30.0,73.3,114.0,3.8,3.0,1.0,1.0,109.6,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jarrett-brown-1.html,*2009,West Virginia,Big East,SR,QB,13.0,,,,,117.0,466.0,4.0,6.0,117.0,466.0,4.0,6.0,,,,,,,,,,,,,,,187.0,296.0,63.2,2144.0,7.2,6.6,11.0,9.0,130.2,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jarrett-brown-1.html,Career,West Virginia,,,,,1.0,-1.0,-1.0,0.0,234.0,1138.0,4.9,13.0,235.0,1137.0,4.8,13.0,,,,,,,,,,,,,,,268.0,421.0,63.7,2983.0,7.1,6.5,16.0,13.0,129.5,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cornelius-brown-2.html,2006,UTEP,CUSA,FR,DB,12.0,,,,,,,,,,,,,6.0,4.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,-21.0,-21.0,0.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cornelius-brown-2.html,2007,UTEP,CUSA,SO,DB,12.0,,,,,,,,,,,,,38.0,12.0,50.0,3.0,0.0,4.0,102.0,25.5,0.0,,,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cornelius-brown-2.html,2008,UTEP,CUSA,JR,DB,12.0,,,,,,,,,,,,,14.0,15.0,29.0,0.0,0.0,3.0,21.0,7.0,0.0,,,,,,,,,,,,,,,1.0,21.0,21.0,0.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cornelius-brown-2.html,2009,UTEP,CUSA,SR,DB,12.0,,,,,,,,,,,,,31.0,10.0,41.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,49.0,24.5,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cornelius-brown-2.html,Career,UTEP,,,,,,,,,,,,,,,,,89.0,41.0,130.0,5.0,0.0,7.0,123.0,17.6,0.0,,,9.0,1.0,,,,,,,,,,,2.0,0.0,0.0,0.0,2.0,49.0,24.5,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/chris-brown-4.html,*2006,Oklahoma,Big 12,FR,RB,5.0,,,,,70.0,343.0,4.9,6.0,70.0,343.0,4.9,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/chris-brown-4.html,*2007,Oklahoma,Big 12,SO,RB,13.0,10.0,83.0,8.3,1.0,158.0,611.0,3.9,9.0,168.0,694.0,4.1,10.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/chris-brown-4.html,*2008,Oklahoma,Big 12,JR,RB,14.0,15.0,109.0,7.3,1.0,217.0,1220.0,5.6,20.0,232.0,1329.0,5.7,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,22.0,22.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/chris-brown-4.html,*2009,Oklahoma,Big 12,SR,RB,13.0,19.0,131.0,6.9,1.0,182.0,749.0,4.1,7.0,201.0,880.0,4.4,8.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/chris-brown-4.html,Career,Oklahoma,,,,,44.0,323.0,7.3,3.0,627.0,2923.0,4.7,42.0,671.0,3246.0,4.8,45.0,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,22.0,22.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/charles-brown-6.html,*2007,USC,Pac-10,SO,OL,9.0,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/charles-brown-6.html,*2008,USC,Pac-10,JR,OL,13.0,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/charles-brown-6.html,Career,USC,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/antonio-brown-1.html,*2007,Central Michigan,MAC,FR,WR,14.0,102.0,1003.0,9.8,6.0,10.0,74.0,7.4,1.0,112.0,1077.0,9.6,7.0,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,142.0,10.9,0.0,40.0,1048.0,26.2,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/antonio-brown-1.html,*2008,Central Michigan,MAC,SO,WR,13.0,93.0,998.0,10.7,7.0,20.0,116.0,5.8,0.0,113.0,1114.0,9.9,7.0,,,,,,,,,,,,,,,1.0,2.0,50.0,2.0,1.0,11.0,1.0,0.0,223.4,20.0,410.0,20.5,1.0,38.0,791.0,20.8,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/antonio-brown-1.html,*2009,Central Michigan,MAC,JR,WR,14.0,110.0,1198.0,10.9,9.0,42.0,341.0,8.1,3.0,152.0,1539.0,10.1,12.0,,,,,,,,,,,,,,,1.0,2.0,50.0,24.0,12.0,12.0,0.0,0.0,150.8,20.0,270.0,13.5,2.0,35.0,773.0,22.1,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/antonio-brown-1.html,Career,Central Michigan,,,,,305.0,3199.0,10.5,22.0,72.0,531.0,7.4,4.0,377.0,3730.0,9.9,26.0,,,,,,,,,,,,,,,2.0,5.0,40.0,26.0,5.2,9.2,1.0,0.0,149.7,53.0,822.0,15.5,3.0,113.0,2612.0,23.1,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dez-bryant-1.html,*2007,Oklahoma State,Big 12,FR,WR,12.0,43.0,622.0,14.5,6.0,2.0,16.0,8.0,0.0,45.0,638.0,14.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,15.0,7.5,0.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dez-bryant-1.html,*2008,Oklahoma State,Big 12,SO,WR,13.0,87.0,1480.0,17.0,19.0,,,,,87.0,1480.0,17.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,17.0,305.0,17.9,2.0,4.0,100.0,25.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dez-bryant-1.html,*2009,Oklahoma State,Big 12,JR,WR,3.0,17.0,323.0,19.0,4.0,,,,,17.0,323.0,19.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,111.0,37.0,1.0,2.0,43.0,21.5,0.0,,,,,,,,,,
