NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/dominique-barber-1.html,*2006,Minnesota,Big Ten,JR,DB,13.0,47.0,27.0,74.0,1.0,0.0,4.0,57.0,14.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dominique-barber-1.html,2007,Minnesota,Big Ten,SR,DB,12.0,71.0,29.0,100.0,5.5,1.0,0.0,0.0,,0.0,8.0,2.0,53.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dominique-barber-1.html,Career,Minnesota,,,,,128.0,59.0,187.0,6.5,1.0,4.0,57.0,14.3,1.0,8.0,2.0,53.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/gary-barnidge-1.html,*2004,Louisville,CUSA,FR,TE,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,85.0,12.1,4.0,7.0,85.0,12.1,4.0,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/gary-barnidge-1.html,*2005,Louisville,Big East,SO,TE,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,240.0,14.1,2.0,17.0,240.0,14.1,2.0,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/gary-barnidge-1.html,*2006,Louisville,Big East,JR,TE,13.0,4.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,31.0,511.0,16.5,4.0,31.0,511.0,16.5,4.0,1.0,-2.0,-2.0,0.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/gary-barnidge-1.html,2007,Louisville,Big East,SR,TE,12.0,5.0,1.0,6.0,0.0,0.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,53.0,655.0,12.4,7.0,53.0,655.0,12.4,7.0,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/gary-barnidge-1.html,Career,Louisville,,,,,9.0,1.0,10.0,0.0,0.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,108.0,1491.0,13.8,17.0,108.0,1491.0,13.8,17.0,1.0,-2.0,-2.0,0.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-barrett-1.html,*2004,Arizona State,Pac-10,FR,DB,10.0,,,,,,1.0,23.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-barrett-1.html,*2005,Arizona State,Pac-10,SO,DB,12.0,26.0,11.0,37.0,3.0,1.0,1.0,12.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
