Year,Player_NCAA_ID,NCAA_Link,Rk,Player,School,Conf,G,Punts,Yds,Avg
2015,mitch-bonnstetter-1,/cfb/players/mitch-bonnstetter-1.html,117,Mitch Bonnstetter*,Ohio,MAC,13,70,2710,38.7
2015,josh-williams-9,/cfb/players/josh-williams-9.html,118,Josh Williams,SMU,American,9,38,1472,38.7
2015,arthur-hart-1,/cfb/players/arthur-hart-1.html,119,Arthur Hart,Charlotte,CUSA,12,75,2895,38.6
2015,christian-koch-1,/cfb/players/christian-koch-1.html,120,Christian Koch,Miami (OH),MAC,12,82,3145,38.4
2015,justin-wain-1,/cfb/players/justin-wain-1.html,121,Justin Wain*,Connecticut,American,13,75,2866,38.2
2015,nicolas-pritchard-1,/cfb/players/nicolas-pritchard-1.html,122,Nicolas Pritchard,Maryland,Big Ten,12,55,2099,38.2
2015,hunter-niswander-1,/cfb/players/hunter-niswander-1.html,123,Hunter Niswander*,Northwestern,Big Ten,13,85,3227,38.0
2015,jacob-ambrose-1,/cfb/players/jacob-ambrose-1.html,124,Jacob Ambrose*,Northern Illinois,MAC,14,74,2803,37.9
2015,zachary-block-1,/cfb/players/zachary-block-1.html,125,Zachary Block,Tulane,American,8,47,1783,37.9
2015,chris-qualls-1,/cfb/players/chris-qualls-1.html,126,Chris Qualls,Louisiana-Monroe,Sun Belt,13,86,3190,37.1
2015,peter-picerelli-1,/cfb/players/peter-picerelli-1.html,127,Peter Picerelli,Tulane,American,8,31,1138,36.7
2016,johnny-townsend-1,/cfb/players/johnny-townsend-1.html,1,Johnny Townsend*,Florida,SEC,13,64,3065,47.9
2016,mitch-wishnowsky-1,/cfb/players/mitch-wishnowsky-1.html,2,Mitch Wishnowsky*,Utah,Pac-12,13,64,3053,47.7
2016,michael-dickson-1,/cfb/players/michael-dickson-1.html,3,Michael Dickson,Texas,Big 12,12,65,3079,47.4
2016,jk-scott-3,/cfb/players/jk-scott-3.html,4,JK Scott*,Alabama,SEC,15,64,3020,47.2
2016,cameron-johnston-1,/cfb/players/cameron-johnston-1.html,5,Cameron Johnston*,Ohio State,Big Ten,11,56,2614,46.7
2016,joseph-davidson-1,/cfb/players/joseph-davidson-1.html,6,Joseph Davidson,Bowling Green State,MAC,12,61,2791,45.8
