Year,Player,Pos,School,NCAA_Link
2006,Justin Medlock,K,UCLA,https://www.sports-reference.com/cfb/players/justin-medlock-1.html
2006,Desean Jackson,KR,California,https://www.sports-reference.com/cfb/players/desean-jackson-1.html
2006,Gaines Adams,DL,Clemson,https://www.sports-reference.com/cfb/players/gaines-adams-1.html
2006,Justin Hickman,DL,UCLA,https://www.sports-reference.com/cfb/players/justin-hickman-1.html
2006,Quinn Pitcock,DL,Ohio State,https://www.sports-reference.com/cfb/players/quinn-pitcock-1.html
2006,Lamarr Woodley,DL,Michigan,https://www.sports-reference.com/cfb/players/lamarr-woodley-1.html
2006,James Laurinaitis,LB,Ohio State,https://www.sports-reference.com/cfb/players/james-laurinaitis-1.html
2006,Paul Posluszny,LB,Penn State,https://www.sports-reference.com/cfb/players/paul-posluszny-1.html
2006,Patrick Willis,LB,Ole Miss,https://www.sports-reference.com/cfb/players/patrick-willis-1.html
2006,Leon Hall,DB,Michigan,https://www.sports-reference.com/cfb/players/leon-hall-1.html
2006,Daymeion Hughes,DB,California,https://www.sports-reference.com/cfb/players/daymeion-hughes-1.html
2006,Laron Landry,DB,LSU,https://www.sports-reference.com/cfb/players/laron-landry-1.html
2006,Reggie Nelson,DB,Florida,https://www.sports-reference.com/cfb/players/reggie-nelson-1.html
2006,Eric Weddle,DB,Utah,https://www.sports-reference.com/cfb/players/eric-weddle-1.html
2006,Daniel Sepulveda,P,Baylor,https://www.sports-reference.com/cfb/players/daniel-sepulveda-1.html
2007,Tim Tebow,QB,Florida,https://www.sports-reference.com/cfb/players/tim-tebow-1.html
2007,Darren McFadden,RB,Arkansas,https://www.sports-reference.com/cfb/players/darren-mcfadden-1.html
2007,Kevin Smith,RB,UCF,https://www.sports-reference.com/cfb/players/kevin-smith-1.html
2007,Michael Crabtree,WR,Texas Tech,https://www.sports-reference.com/cfb/players/michael-crabtree-1.html
2007,Jordy Nelson,WR,Kansas State,https://www.sports-reference.com/cfb/players/jordy-nelson-1.html
2007,Martin Rucker,TE,Missouri,https://www.sports-reference.com/cfb/players/martin-rucker-1.html
2007,Ryan Clady,OL,Boise State,https://www.sports-reference.com/cfb/players/ryan-clady-1.html
2007,Steve Justice,OL,Wake Forest,https://www.sports-reference.com/cfb/players/steve-justice-1.html
2007,Jake Long,OL,Michigan,https://www.sports-reference.com/cfb/players/jake-long-1.html
2007,Jonathan Luigs,OL,Arkansas,https://www.sports-reference.com/cfb/players/jonathan-luigs-1.html
2007,Duke Robinson,OL,Oklahoma,https://www.sports-reference.com/cfb/players/duke-robinson-1.html
2007,John Sullivan,K,New Mexico,https://www.sports-reference.com/cfb/players/john-sullivan-1.html
2007,Jeremy Maclin,AP,Missouri,https://www.sports-reference.com/cfb/players/jeremy-maclin-1.html
2007,Felix Jones,KR,Arkansas,https://www.sports-reference.com/cfb/players/felix-jones-1.html
2007,Glenn Dorsey,DL,LSU,https://www.sports-reference.com/cfb/players/glenn-dorsey-1.html
2007,Sedrick Ellis,DL,USC,https://www.sports-reference.com/cfb/players/sedrick-ellis-1.html
2007,Chris Long,DL,Virginia,https://www.sports-reference.com/cfb/players/chris-long-1.html
2007,George Selvie,DL,South Florida,https://www.sports-reference.com/cfb/players/george-selvie-1.html
2007,Dan Connor,LB,Penn State,https://www.sports-reference.com/cfb/players/dan-connor-1.html
2007,Jordon Dizon,LB,Colorado,https://www.sports-reference.com/cfb/players/jordon-dizon-1.html
2007,James Laurinaitis,LB,Ohio State,https://www.sports-reference.com/cfb/players/james-laurinaitis-1.html
2007,J Leman,LB,Illinois,https://www.sports-reference.com/cfb/players/j-leman-1.html
2007,Curtis Lofton,LB,Oklahoma,https://www.sports-reference.com/cfb/players/curtis-lofton-1.html
2007,Antoine Cason,DB,Arizona,https://www.sports-reference.com/cfb/players/antoine-cason-1.html
2007,Jamie Silva,DB,Boston College,https://www.sports-reference.com/cfb/players/jamie-silva-1.html
2007,Craig Steltz,DB,LSU,https://www.sports-reference.com/cfb/players/craig-steltz-1.html
2007,Aqib Talib,DB,Kansas,https://www.sports-reference.com/cfb/players/aqib-talib-1.html
2007,Kevin Huber,P,Cincinnati,https://www.sports-reference.com/cfb/players/kevin-huber-1.html
2008,Sam Bradford,QB,Oklahoma,https://www.sports-reference.com/cfb/players/sam-bradford-1.html
